file_name,labels
a4,2
a6,2
a7,7
a12,2
a13,6
a14,5
a15,4
a20,2
a21,8
a22,6
a28,7
a29,6
a30,3
a31,8
a36,2
a37,7
a38,6
a39,4
a45,8
a46,8
a47,2
a53,4
a54,6
a55,3
a60,5
a61,8
a62,6
a69,7
a70,6
a71,5
a78,4
a83,8
a84,8
a85,5
a86,6
a87,4
a93,4
a99,8
a100,5
a101,8
a102,4
a108,3
a110,8
a117,4
a118,2
a119,3
a125,8
a126,2
a127,5
a131,8
a132,6
a135,8
a141,8
a143,4
a149,6
a150,8
a156,2
a158,8
a167,5
a172,7
a173,3
a175,7
a179,8
a180,6
a182,8
a183,4
a188,5
a189,7
a190,7
a191,5
a197,8
a204,3
a205,2
a206,3
a207,6
a211,8
a213,5
a214,6
a220,7
a221,2
a223,2
a227,8
a228,7
a229,2
a230,3
a236,6
a237,4
a238,8
a244,6
a245,6
a247,7
a252,7
a253,5
a254,3
a255,6
a259,8
a260,7
a261,8
a262,8
a263,5
a269,6
a270,7
a271,5
a276,6
a279,8
a284,8
a285,8
a286,2
a292,3
a293,4
a294,2
a300,7
a301,4
a302,4
a303,7
a309,3
a310,5
a315,8
a316,5
a317,8
a318,4
a319,8
a324,2
a327,8
a332,7
a333,4
a334,5
a341,8
a343,6
a348,6
a350,4
a359,7
a365,3
a366,5
a372,6
a373,8
a374,6
a375,2
a380,2
a381,8
a389,8
a390,5
a391,3
a396,7
a397,5
a398,8
a404,6
a407,5
a412,5
a413,4
a415,8
a420,3
a421,5
a429,2
a430,6
a431,7
a436,7
a437,5
a438,6
a446,8
a447,7
a451,8
a452,8
a453,6
a455,3
a460,5
a461,8
a462,3
a463,7
a468,3
a469,2
a478,4
a479,7
a484,2
a485,5
a487,2
a491,8
a492,8
a493,4
a501,6
a502,6
a503,6
a508,2
a509,8
a510,2
a511,4
a516,6
a518,7
a519,5
a524,2
a525,7
a527,7
a531,8
a532,7
a533,4
a535,2
a541,4
a543,2
a548,6
a549,2
a550,3
a551,8
a556,7
a557,2
a558,8
a559,5
a563,8
a564,7
a567,6
a572,8
a573,6
a575,2
a579,8
a580,6
a581,5
a582,8
a588,3
a589,3
a591,2
a597,7
a598,8
a604,6
a606,6
a607,5
a612,2
a614,7
a619,8
a620,6
a621,6
a623,2
a628,5
a631,7
a636,7
a637,6
a638,2
a639,6
a643,8
a644,8
a645,8
a647,4
a654,2
a655,8
a660,6
a661,4
a662,4
a668,8
a669,5
a670,2
a671,6
a676,3
a677,2
a678,3
a679,8
a684,5
a685,8
a686,7
a687,6
a691,8
a692,6
a693,3
a694,5
a695,4
a699,8
a700,8
a701,7
a702,7
a709,3
a710,7
a711,6
a716,2
a719,3
a724,8
a725,4
a726,8
a727,2
a732,6
a733,6
a734,4
a741,7
a743,5
a748,2
a749,6
a750,3
a751,4
a755,8
a756,6
a757,6
a758,3
a765,2
a766,4
a772,2
a773,4
a774,6
a775,5
a780,3
a781,7
a782,3
a783,2
a788,3
a789,8
a790,3
a791,4
a796,6
a797,7
a803,8
a804,5
a805,8
a806,5
a807,6
a812,6
a813,7
a814,2
a815,7
a820,2
a821,6
a823,5
a829,7
a831,6
a837,6
a838,4
a839,3
a843,8
a844,7
a847,7
a853,2
a854,3
a855,4
a861,5
a862,2
a863,7
a868,6
a871,4
a877,5
a878,2
a879,2
a884,7
a886,8
a887,2
a893,6
a894,7
a895,2
a901,4
a902,7
a903,4
a909,6
a911,4
a916,2
a917,3
a924,6
a925,7
a926,7
a932,8
a934,3
a935,2
a939,8
a941,5
a942,8
a943,3
a948,5
a950,4
a951,3
a956,2
a958,4
a959,7
a963,8
a972,5
a973,8
a974,8
a975,8
a980,6
a982,3
a983,3
a988,2
a989,5
a990,4
a997,6
a998,4
a999,6
a1005,2
a1006,7
a1007,7
a1020,3
a1021,5
a1022,5
a1029,8
a1030,3
a1036,2
a1038,4
a1039,2
a1043,8
a1045,6
a1046,7
a1047,8
a1051,8
a1052,8
a1053,3
a1055,8
a1059,8
a1060,7
a1061,4
a1063,4
a1068,8
a1069,6
a1070,6
a1071,3
a1076,3
a1078,7
a1084,8
a1086,8
a1087,6
a1100,2
a1101,6
a1102,3
a1103,8
a1108,6
a1111,5
a1116,3
a1117,8
a1118,5
a1119,8
a1123,8
a1124,6
a1125,4
a1127,7
a1132,3
a1134,3
a1135,3
a1140,6
a1141,5
a1142,4
a1143,6
a1148,5
a1149,5
a1150,2
a1151,4
a1156,2
a1157,6
a1158,2
a1159,4
a1163,8
a1164,8
a1166,3
a1172,3
a1173,6
a1175,2
a1182,6
a1183,2
a1188,1
a1189,4
a1190,6
a1191,6
a1196,7
a1197,6
a1198,2
a1199,2
a1204,6
a1205,5
a1207,3
a1212,3
a1213,2
a1214,2
a1215,4
a1220,8
a1221,7
a1222,8
a1228,1
a1229,5
a1230,2
a1237,8
a1238,2
a1244,3
a1245,3
a1246,2
a1247,3
a1252,7
a1253,5
a1254,1
a1255,6
a1260,7
a1261,6
a1262,6
a1263,3
a1267,1
a1269,6
a1270,3
